PIXEL_ID, YEAR, MONTH, RET_SUM, RET_AVG
132096, 1995, 06, 135.104, 4.5034666666666666666666666666
132096, 1995, 07, 153.78, 4.9606451612903225806451612903
132096, 1995, 08, 133.774, 4.3152903225806451612903225806
132096, 1995, 09, 114.43, 3.8143333333333333333333333333
132096, 1995, 10, 98.965, 3.1924193548387096774193548387
132096, 1995, 11, 76.06, 2.5353333333333333333333333333
132096, 1995, 12, 59.96, 1.9341935483870967741935483870
132096, 1996, 01, 69.207, 2.2324838709677419354838709677
132096, 1996, 02, 81.746, 2.8188275862068965517241379310
132096, 1996, 03, 102.821, 3.3168064516129032258064516129
132096, 1996, 04, 137.071, 4.5690333333333333333333333333
132096, 1996, 05, 167.854, 5.4146451612903225806451612903
132096, 1996, 06, 141.042, 4.7014
132096, 1996, 07, 159.12, 5.1329032258064516129032258064
132096, 1996, 08, 137.64, 4.44
132096, 1996, 09, 128.193, 4.2731
132096, 1996, 10, 92.588, 2.9867096774193548387096774193
132096, 1996, 11, 77.638, 2.5879333333333333333333333333
132096, 1996, 12, 60.948, 1.9660645161290322580645161290
132096, 1997, 01, 63.11, 2.0358064516129032258064516129
132096, 1997, 02, 77.372, 2.7632857142857142857142857142
132096, 1997, 03, 115.005, 3.7098387096774193548387096774
132096, 1997, 04, 124.556, 4.1518666666666666666666666666
132096, 1997, 05, 147.445, 4.7562903225806451612903225806
132096, 1997, 06, 134.271, 4.4757
132096, 1997, 07, 143.964, 4.644
132096, 1997, 08, 136.367, 4.3989354838709677419354838709
132096, 1997, 09, 126.234, 4.2078
132096, 1997, 10, 97.237, 3.1366774193548387096774193548
132096, 1997, 11, 65.553, 2.1851
132096, 1997, 12, 49.152, 1.5855483870967741935483870967
132096, 1998, 01, 58.775, 1.8959677419354838709677419354
132096, 1998, 02, 69.484, 2.4815714285714285714285714285
132096, 1998, 03, 102.844, 3.3175483870967741935483870967
132096, 1998, 04, 126.233, 4.2077666666666666666666666666
