PIXEL_ID, YEAR, MONTH, RET_SUM, RET_AVG
140154, 1995, 06, 143.019, 4.7673
140154, 1995, 07, 156.004, 5.0323870967741935483870967741
140154, 1995, 08, 139.401, 4.4968064516129032258064516129
140154, 1995, 09, 114.779, 3.8259666666666666666666666666
140154, 1995, 10, 95.449, 3.079
140154, 1995, 11, 69.708, 2.3236
140154, 1995, 12, 57.641, 1.8593870967741935483870967741
140154, 1996, 01, 67.106, 2.1647096774193548387096774193
140154, 1996, 02, 81.407, 2.8071379310344827586206896551
140154, 1996, 03, 97.764, 3.1536774193548387096774193548
140154, 1996, 04, 137.095, 4.5698333333333333333333333333
140154, 1996, 05, 167.714, 5.4101290322580645161290322580
140154, 1996, 06, 142.89, 4.763
140154, 1996, 07, 157.954, 5.0952903225806451612903225806
140154, 1996, 08, 137.068, 4.4215483870967741935483870967
140154, 1996, 09, 129.173, 4.3057666666666666666666666666
140154, 1996, 10, 88.053, 2.8404193548387096774193548387
140154, 1996, 11, 69.755, 2.3251666666666666666666666666
140154, 1996, 12, 58.145, 1.8756451612903225806451612903
140154, 1997, 01, 60.796, 1.9611612903225806451612903225
140154, 1997, 02, 74.609, 2.6646071428571428571428571428
140154, 1997, 03, 115.187, 3.7157096774193548387096774193
140154, 1997, 04, 127.439, 4.2479666666666666666666666666
140154, 1997, 05, 151.379, 4.8831935483870967741935483870
140154, 1997, 06, 135.216, 4.5072
140154, 1997, 07, 146.243, 4.7175161290322580645161290322
140154, 1997, 08, 145.087, 4.6802258064516129032258064516
140154, 1997, 09, 137.064, 4.5688
140154, 1997, 10, 97.502, 3.1452258064516129032258064516
140154, 1997, 11, 65.086, 2.1695333333333333333333333333
140154, 1997, 12, 48.427, 1.5621612903225806451612903225
140154, 1998, 01, 60.689, 1.9577096774193548387096774193
140154, 1998, 02, 69.322, 2.4757857142857142857142857142
140154, 1998, 03, 103.541, 3.3400322580645161290322580645
140154, 1998, 04, 128.356, 4.2785333333333333333333333333
140154, 1998, 05, 157.797, 5.0902258064516129032258064516
140154, 1998, 06, 176.453, 5.8817666666666666666666666666
140154, 1998, 07, 142.768, 4.6054193548387096774193548387
140154, 1998, 08, 126.608, 4.0841290322580645161290322580
140154, 1998, 09, 88.11, 2.937
140154, 1998, 10, 95.708, 3.0873548387096774193548387096
140154, 1998, 11, 63.035, 2.1011666666666666666666666666
140154, 1998, 12, 56.572, 1.8249032258064516129032258064
140154, 1999, 01, 66.322, 2.1394193548387096774193548387
140154, 1999, 02, 84.781, 3.0278928571428571428571428571
140154, 1999, 03, 120.686, 3.8930967741935483870967741935
140154, 1999, 04, 148.879, 4.9626333333333333333333333333
140154, 1999, 05, 155.88, 5.0283870967741935483870967741
140154, 1999, 06, 125.726, 4.1908666666666666666666666666
140154, 1999, 07, 161.212, 5.2003870967741935483870967741
140154, 1999, 08, 142.728, 4.6041290322580645161290322580
140154, 1999, 09, 117.428, 3.9142666666666666666666666666
140154, 1999, 10, 94.774, 3.0572258064516129032258064516
140154, 1999, 11, 73.413, 2.4471
140154, 1999, 12, 56.659, 1.8277096774193548387096774193
140154, 2000, 01, 64.891, 2.0932580645161290322580645161
140154, 2000, 02, 82.389, 2.841
140154, 2000, 03, 115.89, 3.7383870967741935483870967741
140154, 2000, 04, 140.182, 4.6727333333333333333333333333
140154, 2000, 05, 183.778, 5.9283225806451612903225806451
140154, 2000, 06, 147.599, 4.9199666666666666666666666666
140154, 2000, 07, 148.186, 4.7801935483870967741935483870
140154, 2000, 08, 142.019, 4.5812580645161290322580645161
140154, 2000, 09, 95.175, 3.1725
140154, 2000, 10, 99.547, 3.2111935483870967741935483870
